madde,market,price,prod,prod_link
antep fistigi,a101,22.25,cerezya antep fistigi g,https://www.a101.com.tr/market/cerezya-antep-fistigi-200-g/
antep fistigi,marketpaketi,114.9,antep anacitlak fistik kg,https://www.marketpaketi.com.tr/antep-anacitlak-fistik-kg-p-537628
antep fistigi,a101,46.5,cerezya anacitlak antep fistigi,https://www.a101.com.tr/market/cerezya-anacitlak-antep-fistigi-400-g/
antep fistigi,carrefoursa,18,papagan antep fistigi g,https://www.carrefoursa.com/tr/papagan-antep-fistigi-135-g-p-30090414
antep fistigi,carrefoursa,19.75,peyman dorleo kabuklu antep fistigi kavrulmus ve tuzlu g,https://www.carrefoursa.com/tr/peyman-dorleo-kabuklu-antep-fistigi-kavrulmus-ve-tuzlu-156-g-p-30064658
antep fistigi,carrefoursa,16,tadim kavrulmus antep fistigi g,https://www.carrefoursa.com/tr/tadim-kavrulmus-antep-fistigi-140g-p-30205644
antep fistigi,happycenter,16,tadim antep fistigi gr,https://www.happycenter.com.tr/Tadim_200_Gr_Antep_Fistigi
antep fistigi,happycenter,17,peyman antep fistigi gr,https://www.happycenter.com.tr/Peyman_175_Gr_Antep_Fistigi
antep fistigi,marketpaketi,17,peyman dorleo kabuklu antep fistigi gr,https://www.marketpaketi.com.tr/peyman-dorleo-kabuklu-antep-fistigi-170-gr-p-6836
antep fistigi,carrefoursa,59.9,antep fistigi kg tl,https://www.carrefoursa.com/tr/antep-fistigi-kg-tl-p-30098406
antep fistigi,a101,13.25,cerezya antep fistigi g,https://www.a101.com.tr/urun/cerezya-200-g-antep-fistigi.html
antep fistigi,mopas,24,tadim antep fistigi gr,https://mopas.com.tr/tadim-antep-fistigi-180-gr/p/99926
antep fistigi,migros,19.75,peyman dorleo antep fistigi g,https://www.migros.com.tr/peyman-dorleo-antep-fistigi-137-g-p-7b6916
antep fistigi,migros,24,tadim antep fistigi g,https://www.migros.com.tr/tadim-antep-fistigi-180-g-p-7b8e79
antep fistigi,carrefoursa,35,peyman kabuklu antep fistigi kavrulmus ve tuzlu,https://www.carrefoursa.com/tr/peyman-kabuklu-antep-fistigi-kavrulmus-ve-tuzlu-p-30065275
antep fistigi,carrefoursa,59.9,kabuklu antep fistigi kg,https://www.carrefoursa.com/tr/kabuklu-antep-fistigi-kg-p-30004205
antep fistigi,carrefoursa,159,antep fistigi ici,https://www.carrefoursa.com/tr/antep-fistigi-ici-p-30001323
antep fistigi,ideal,88,cemre antep fistigi,https://www.ideal.com.tr/urun/cemreantep-fistigi/34355
antep fistigi,happycenter,74.95,sitoglu antep fistigi kg,https://www.happycenter.com.tr/Sit_antep_Fistigi
antep fistigi,mopas,19.75,peyman dorleo kabuklu antep fistigi gr,https://mopas.com.tr/peyman-dorleo-kabuklu-antep-fistigi-137-gr/p/94007
antep fistigi,marketpaketi,34,tadim kavrulmus antep fistigi gr,https://www.marketpaketi.com.tr/tadim-kavrulmus-antep-fistigi-180-gr-p-518965
antep fistigi,marketpaketi,34,tadim antep fistigi gr,https://www.marketpaketi.com.tr/tadim-antep-fistigi-180-gr-p-2285
antep fistigi,marketpaketi,129.9,tunclar duble antep fistigi kg,https://www.marketpaketi.com.tr/tunclar-duble-antep-fistigi-1-kg-p-548954
antep fistigi,carrefoursa,19.75,peyman dorleo kabuklu antep fistigi kavrulmus ve tuzlu g,https://www.carrefoursa.com/tr/peyman-dorleo-kabuklu-antep-fistigi-kavrulmus-ve-tuzlu-137-g-p-30064658
antep fistigi,happycenter,10,peyman antep fistigi gr,https://www.happycenter.com.tr/Peyman_80_Gr_Antep_Fistigi
antep fistigi,happycenter,12,tadim antep fistigi gr,https://www.happycenter.com.tr/Tadim_90_Gr_Antep_Fistigi
antep fistigi,ideal,20.95,tadim antep fistigi gr,https://www.ideal.com.tr/urun/tadim-antep-fistigi-122gr/64267
antep fistigi,ideal,27.45,tadim antep fistigi gr,https://www.ideal.com.tr/urun/tadim-antep-fistigi-180gr/6249
antep fistigi,ideal,13.95,tadim antep fistigi gr,https://www.ideal.com.tr/urun/tadim-antep-fistigi-90gr/6257
antep fistigi,marketpaketi,19.75,peyman dorleo kabuklu antep fistigi gr,https://www.marketpaketi.com.tr/peyman-dorleo-kabuklu-antep-fistigi-137-gr-p-6836
antep fistigi,marketpaketi,10.5,peyman dorleo kabuklu antep fistigi gr,https://www.marketpaketi.com.tr/peyman-dorleo-kabuklu-antep-fistigi-70-gr-p-6838
antep fistigi,marketpaketi,49.9,tarim kredi kooperatif birlik antep fistigi gr,https://www.marketpaketi.com.tr/tarim-kredi-kooperatif-birlik-antep-fistigi-340-gr-p-549121
antep fistigi,marketpaketi,10.5,peyman dorleo kabuklu antep fistigi gr,https://www.marketpaketi.com.tr/peyman-dorleo-kabuklu-antep-fistigi-80-gr-p-6838
antep fistigi,migros,10,peyman dorleo antep fistigi g,https://www.migros.com.tr//kweb/prview/56621126-30258-peyman-dorleo-antep-fistigi-64-g
antep fistigi,migros,12,tadim antep fistigi gr,https://www.migros.com.tr//kweb/prview/1430668-30263-tadim-antep-fistigi-90-gr
antep fistigi,mopas,19.5,tadim antep fistigi gr,https://mopas.com.tr/tadim-antep-fistigi-122-gr/p/831777
